                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2944,                0.85286,                 1.0892,                0.75256,                0.51613,                0.60285,                0.34663,                 1.4467,                 1.0222,                 1.1794,               0.006634,               0.006634,               0.006634
                     36,                 1.3127,                0.86025,                 1.0933,                 0.7112,                0.50745,                0.59658,                0.32095,                 1.6205,                 1.0627,                   1.25,               0.006535,               0.006535,               0.006535
                     37,                 1.2766,                0.84197,                  1.066,                0.72968,                0.58076,                0.65907,                0.37396,                 1.4106,                0.94706,                 1.1515,               0.006436,               0.006436,               0.006436
                     38,                 1.2485,                  0.853,                 1.0565,                0.78342,                 0.5919,                0.69268,                0.39689,                 1.3791,                0.92586,                 1.1418,               0.006337,               0.006337,               0.006337
                     39,                 1.2932,                0.89898,                 1.0686,                0.75509,                0.56667,                 0.6371,                0.35522,                 1.4971,                0.98385,                 1.2116,               0.006238,               0.006238,               0.006238
                     40,                 1.2169,                0.81562,                 1.0618,                0.75957,                0.56482,                0.65182,                 0.3834,                 1.4065,                0.93998,                 1.1953,               0.006139,               0.006139,               0.006139
                     41,                 1.3108,                0.83971,                 1.1013,                0.72873,                 0.6303,                0.69733,                0.39313,                 1.4389,                0.89303,                 1.1713,                0.00604,                0.00604,                0.00604
                     42,                 1.2355,                0.81435,                 1.0707,                0.77537,                0.58182,                0.67011,                0.38802,                  1.382,                0.92864,                 1.1609,               0.005941,               0.005941,               0.005941
                     43,                 1.2848,                0.87576,                   1.07,                0.79791,                0.57879,                0.67502,                0.38553,                 1.3916,                0.94279,                 1.1647,               0.005842,               0.005842,               0.005842
                     44,                 1.2546,                0.82701,                 1.0505,                0.77588,                0.58788,                0.67908,                0.37769,                 1.4219,                0.94784,                 1.1729,               0.005743,               0.005743,               0.005743
                     45,                 1.2703,                0.83593,                 1.0473,                0.73735,                0.59394,                0.66592,                0.37505,                 1.4658,                0.97539,                 1.2082,               0.005644,               0.005644,               0.005644
                     46,                 1.1946,                0.79825,                 1.0453,                0.77136,                0.55205,                   0.65,                0.38525,                  1.359,                 0.9609,                 1.1582,               0.005545,               0.005545,               0.005545
                     47,                 1.2366,                0.79119,                 1.0617,                0.73157,                0.61515,                0.66427,                 0.3652,                 1.4227,                0.95725,                 1.1461,               0.005446,               0.005446,               0.005446
                     48,                 1.2708,                0.78064,                  1.117,                0.69766,                0.60836,                0.66457,                0.37366,                 1.4235,                 1.0083,                 1.1947,               0.005347,               0.005347,               0.005347
                     49,                 1.2105,                0.77926,                  1.035,                0.74731,                0.58182,                0.67785,                0.38571,                 1.3937,                0.93119,                  1.156,               0.005248,               0.005248,               0.005248
                     50,                 1.1709,                0.82249,                 1.0531,                0.73794,                0.62293,                0.70825,                0.39575,                 1.4449,                0.91322,                 1.1687,               0.005149,               0.005149,               0.005149
                     51,                 1.1875,                 0.7623,                 1.0398,                0.72227,                0.65455,                0.68811,                0.38428,                 1.4029,                0.91047,                 1.1666,                0.00505,                0.00505,                0.00505
                     52,                 1.1748,                0.75841,                 1.0383,                0.72409,                0.59697,                0.67236,                0.37915,                 1.4043,                0.94542,                 1.1698,               0.004951,               0.004951,               0.004951
                     53,                 1.1694,                0.82189,                 1.0426,                0.72601,                0.59697,                0.68129,                0.38389,                 1.4405,                 0.9038,                 1.1577,               0.004852,               0.004852,               0.004852
                     54,                 1.1797,                0.75941,                 1.0286,                0.76299,                0.61818,                0.70098,                0.39834,                 1.4231,                0.92179,                 1.1629,               0.004753,               0.004753,               0.004753
                     55,                 1.1252,                 0.7264,                 1.0229,                0.82591,                0.55758,                0.68477,                 0.3929,                 1.4375,                0.92305,                 1.1764,               0.004654,               0.004654,               0.004654
                     56,                 1.1438,                0.75732,                 1.0297,                0.76826,                0.61212,                0.69593,                0.40121,                 1.4061,                0.92293,                 1.1865,               0.004555,               0.004555,               0.004555
                     57,                 1.1578,                0.73732,                 1.0317,                 0.6974,                0.63939,                0.68703,                0.41087,                 1.3551,                0.90389,                 1.1296,               0.004456,               0.004456,               0.004456
                     58,                 1.1289,                0.71471,                 1.0237,                0.69862,                0.64545,                0.70594,                 0.4125,                  1.355,                 0.8695,                 1.1191,               0.004357,               0.004357,               0.004357
                     59,                  1.142,                0.73127,                 1.0296,                0.73209,                 0.6697,                0.71195,                0.41419,                 1.3767,                0.89768,                 1.1396,               0.004258,               0.004258,               0.004258
                     60,                 1.1255,                 0.7124,                 1.0088,                0.76621,                0.63939,                0.70547,                0.40204,                  1.412,                 0.8632,                 1.1536,               0.004159,               0.004159,               0.004159
                     61,                 1.1053,                0.70681,                 1.0071,                0.70525,                0.66705,                0.70496,                0.40657,                 1.3882,                0.81198,                 1.1431,                0.00406,                0.00406,                0.00406
                     62,                 1.1064,                0.69089,                 1.0043,                0.74778,                0.55152,                0.66076,                0.37907,                 1.4644,                0.92623,                 1.1826,               0.003961,               0.003961,               0.003961
                     63,                 1.0923,                0.69276,                 1.0103,                0.76256,                0.59697,                 0.7025,                0.40751,                 1.3827,                0.85173,                 1.1533,               0.003862,               0.003862,               0.003862
                     64,                 1.1078,                 0.7062,                 1.0162,                0.78539,                0.58776,                0.68495,                0.39622,                 1.4069,                0.89732,                 1.1855,               0.003763,               0.003763,               0.003763
                     65,                 1.1145,                0.72397,                 1.0044,                0.75501,                0.63636,                0.69848,                0.40586,                 1.3793,                0.84877,                 1.1586,               0.003664,               0.003664,               0.003664
                     66,                 1.1072,                0.69295,                 1.0064,                0.79297,                    0.6,                0.69412,                0.41466,                 1.3748,                0.87858,                 1.1703,               0.003565,               0.003565,               0.003565
                     67,                 1.0973,                0.69185,                 1.0088,                0.79997,                0.64242,                0.71572,                 0.4278,                  1.332,                0.84784,                 1.1298,               0.003466,               0.003466,               0.003466
                     68,                 1.0928,                0.66674,                 1.0046,                0.72004,                0.63636,                0.69531,                0.41462,                 1.3496,                0.85299,                 1.1335,               0.003367,               0.003367,               0.003367
                     69,                 1.0792,                0.66179,                  1.007,                0.75166,                0.64242,                0.70559,                0.41557,                 1.3906,                0.84767,                 1.1942,               0.003268,               0.003268,               0.003268
